Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Unauthorised Food Selling   Preparation,The stretch of road between VIBGYOR High school thubarahalli and Varthur main road is in a bad state. The road surface is extremely uneven with a large number of potholes. There are no proper footpath nor Street lights. This stretch is a nightmare for 2 wheelers during monsoon. There are atleast 5 apartment complexes with more than 700 houses on this stretch. Please fix this road.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised construction development,The Illegal Right turn from Harlur Road on to Sarjapura Main Road is causing severe traffic jams on the Sarjapura Main road and this gets tailed to as far as Sarjapura Firestation or beyond at times. Appreciate if this right turn which is not permitted is strictly enforced for smooth flow of traffic. Thank you !,Unauthorised construction development,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
Bad Patches,It was a welcome move to make the service road infront of Salarpuria Softzone a one way - permitting traffic only towards Bellandur Gate. However  there has been constant violations on this - vehicles entering service lane right from Bellandur Gate junction and Green Glen layout. Appreciate if this One Way regulation is strictly enforced. Thank you !,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,3 years back2nd Main Road of MES Ring Road Bahubalinagar was dug up for laying water pipes .  After the completion of the work the road is filled up with mud and is not tarred.  The road is so bumpy  and muddy  no need to explain about the hardship the dwellers are facing since three years.  This road leads to HMT.  Only three fourth of this road is made good by laying cement concrete  but remaining portion that is from 4th cross to MES road is left unattended.  Kindly tar this road at the earliest as monsoon is approaching to make the situation worse.,Bad Patches,"Providing repairing doors, windows of P.S. Blocks",Major repairs to municipal property
Garbage not lifted from co-authorised collection point,The civic body workers are collecting  the garbage from the area into a big pile and setting it on fire instead of disposing it.  This is causing huge problems for the houses in the locality and for the people who pass through the area and also causing pollution.  I request the concerned persons to resolve this issue as soon as possible.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,The road has lot of damages Now it is looking like mud road lot of dust are producing,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,They are not maintaining proper drainage and road level,Bad Patches,Leaks in water lines,Contaminated water supply
Collection point not attended properly,No 5 6th cross gokula1st stage 3rd phase yeshwanthpura  and footpath and and drainage lane not maintain properly take care on this problem,Collection point not attended properly,Bad Patches,"Removal of silt from nalla across culverts, etc."
Collection point not attended properly,Local government have not maintained roads properly.when ever it rains citizens r suffering alot because of this road.because of potholes.,Collection point not attended properly,Bad Patches,"Removal of silt from nalla across culverts, etc."
Garbage not lifted from house gully,Front of airforce school there is a garbage dumping point. Becoz of this garbage dumping point 2 schools are facing lot of problems and also citizens. Its spreads a durty smells so public wont use the foot path and roads. Here cant even stand 5 min but total 1500 kids are studing in both schools.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Drainage chokes and blockages,Front of air force scholl main raod the both side footpaths are encroched by tea stall  mobile canteens and others. The public are walking on roads. Thats why lots of trafic and accident acured here. ,Drainage chokes and blockages,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers
Providing removing replacing dustbins,Their is a garbage point in front of sophia school.many times school athority have complaint to bbmp about garbage issue.but still bbmp have not taken anu action.,Providing removing replacing dustbins,Garbage not lifted from house gully,Collection point not attended properly
Bad Patches,Near annayappa layout 1st cross 3 dogs are scaring publics while walk on road. Here so many kids are staying they were afraid to send thwm out. Please let me clear this issue by concern,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Odour  foul smell  from drains,We the residents of Neelasandra (2nd Cross  Bazaar Street  behind MVGAN Kalyana Mantapa) are facing sewage problem since 10 to 15 years  as the sewage pipes are very narrow and clogs very frequently and itâ€™s even worse during Rainy Season. Many times the kids are affected with severe viral fever and hospitalised. We have reported many times to the concerned authorities  but wasnâ€™t helpful. And it is noticed that they have replaced sewage pipes in the surrounding areas long back but failed to do it in this area. \n\nThe only solution is replacing with wider sewage lines. We wish you could help us to come out of this issue.,Odour  foul smell  from drains,Mosquito nuisance,Removal of Debris
Bad Patches,The roads near Elite school in Neelasandra are badly designed and poorly made. In addition traffic violations are not enforced. Motorcycles and cars park all over the place which makes it difficult for people to get around. ,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
