Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Garbage not lifted from co-authorised collection point,The vacant site #616  3rd Main near 13th cross is the dumping ground for garbage and kitchen waste and a fertile one for weeds.Bandicoots  snakes are seen here.Recently JCB has cleared many such sites in this locality  leaving this one for reasons known only to BBMP. The neighbours pleaded for clearing this also  but no body cares.,Garbage not lifted from co-authorised collection point,Collection point not attended properly,Garbage not lifted from house gully
Lifting of Tree Cutting,Jogupalya lingayanapalya 1st cross opposite side one emtey letigation land here trees are more tree routs creating problems to our house please related department take action to this problem.,Lifting of Tree Cutting,Trimming of branches,Minor repairs to municipal property
Bad Patches,This road is an important connection towards the north part of the city from Majestic. The road below the railway bridge is in a miserable and pitiable condition because of which the traffic also slows down. The repair of this road will facilitate the fact movement of vehicles toward Rajajinagar and also towards the second entrance of the railways. I request the BBMP to take proper measures as this phenomenon is a recurring one. I have been seeing the same condition from past 5 years.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Odour  foul smell  from drains,In the starting of the bheemanna garden there is a mosque. Next to that mosque they have dumped the building waste on the road itself almost 60% of the road is covered. We are not able to travel on that road. So pls bbmp as to take some action on them. And to remove that building waste immediately,Odour  foul smell  from drains,Minor repairs to municipal property,Silt to be lifted on road
Drainage chokes and blockages,Jogupalya 8th street n this road sewage drainge blocked when rain its come  and over flowed the sewage drain water.,Drainage chokes and blockages,Overflowing drains or manholes,Odour  foul smell  from drains
Unauthorised Food Selling   Preparation,G 8th street jogalya no street lights in this roae please as soon as posible street lights maintain it.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Proper electric supply to municipal properties,In this my area the streer light is not working from last one month. In the nite times its so difficult for us to go out an come.,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Bad Patches,Bheemanna garden road was duged up 3 months back for bwssb work. The work progress got over 3 month back itself. They made the road fully damage. Now we not able to use that road. No body as taken any action on this. Pls take some action and make read of this road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Unauthorised Food Selling   Preparation,In our area no parks are their and elderly people r finding very difficult for early morning walking or any kind of exercises to keep them healthy due to lack of facilities like park etc,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,Garbage has been dumped in footpath in domlur old airport main road and its not maintained properly .they r not cleaning it .and near by residents people had tied cows in footpath and because of this people are walking on main roads and people are affected very badly because of this,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Drainage chokes and blockages
Unauthorised Food Selling   Preparation,During rainy season water staganetes causing un_bearable hardship . will the civil engineering dept take immediate action set right the problem and see that people dont face any such problems .. because of the culvirts.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,THE LAMPS SOON YOU SEE THIS MESSAGE. DARKNESS CURVE OF BASKARN ROAD IS MOST DANGEROWS PLACE TO RIDE. PLEASE MR. GOVINDIAH GIVE DIRECTIONS TO STREETLIGHT DIVISION TO IMMEDIATELY ACTIVATE. AS NOTICED ON 14TH 15TH APRIL 2013 AT 4-30 AM.,Drainage chokes and blockages,Major repairs to municipal property,Minor repairs to municipal property
Unauthorised Food Selling   Preparation,It is a known fact that Bangalore is among the pedestrian unfriendly cities. Please find attached  an innovative pedestrian walkway suitable for several junctions across the city. Even though it may be expensive  it can be met by contracting the space available for advertising and generate revenues for BBMP.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Anandnagar main road  was dug up for a sewage related problem. It was completed almost 2 months back and the road is not asphalted again. It is a classic case of lack of co-ordination between the civic agencies which is doing more harm than good to the citizens.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Bad Patches,"The \""60 ft road\"" has stones strewn all over. It is terribly difficult to ride a two wheeler on this road. I am not sure whether this is an \"" in - between \"" state and if the road is in the process of being built. But the road has been in a terrible condition for as long as I can remember.",Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised construction in slum
Bad Patches,The stretch between Kammanahalli to Ramamurthy nagar underpass  has ample space on the median and also the left side of the road.There are a few trees and wild bushes. It is currently being used by hawkers and 2 wheelers to bye pass the road median. Planting saplings which grow to big trees and landscaping the space between  will soften the blow of the blazing heat and also add to the beauty of the place. Replicating this at similar locations will surely take back Bangalore to its glory days.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,59th A croos road has been dug and is full of debris.Kindly clean the road and put tar  so that residents stay happily,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
